label,mm_x,mm_y,row,col,xu,yu,image_path
P25_22.840_25.680,22.84,25.68,1,9,1168.8194091187079,693.3663086780332,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P25_22.840_25.680.png
P26_34.260_25.680,34.26,25.68,1,10,1237.9400235373234,695.020770006725,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P26_34.260_25.680.png
P27_45.680_25.680,45.68,25.68,1,11,1304.2078468830307,698.9490992869178,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P27_45.680_25.680.png
P28_57.100_25.680,57.1,25.68,1,12,1370.0913959099005,700.5729746792631,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P28_57.100_25.680.png
P29_68.520_25.680,68.52,25.68,1,13,1432.6390025749745,703.666899973845,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P29_68.520_25.680.png
P30_79.940_25.680,79.94,25.68,1,14,1492.4631346695496,706.6269427531714,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P30_79.940_25.680.png
P31_-79.940_21.400,-79.94,21.400000000000002,2,0,564.4981492249744,747.9152375414417,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P31_-79.940_21.400.png
P32_-68.520_21.400,-68.52,21.400000000000002,2,1,622.0571513297119,746.6895901009584,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P32_-68.520_21.400.png
P33_-57.100_21.400,-57.1,21.400000000000002,2,2,683.1204175339142,745.6759405495299,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P33_-57.100_21.400.png
P34_-45.680_21.400,-45.68,21.400000000000002,2,3,747.7031069195803,744.4918900986931,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P34_-45.680_21.400.png
P35_-34.260_21.400,-34.26,21.400000000000002,2,4,814.4833260380886,743.7306830574742,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P35_-34.260_21.400.png
P36_-22.840_21.400,-22.84,21.400000000000002,2,5,883.6362351813494,744.0094944030673,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P36_-22.840_21.400.png
P37_-11.420_21.400,-11.42,21.400000000000002,2,6,954.5147643468712,745.3625751182913,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P37_-11.420_21.400.png
P38_0.000_21.400,0.0,21.400000000000002,2,7,1025.5960770661945,745.1792053860389,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P38_0.000_21.400.png
P39_11.420_21.400,11.42,21.400000000000002,2,8,1097.1299926105935,747.3406325941387,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P39_11.420_21.400.png
P40_22.840_21.400,22.84,21.400000000000002,2,9,1169.6622984384824,745.7648059572155,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P40_22.840_21.400.png
P41_34.260_21.400,34.26,21.400000000000002,2,10,1239.452285719651,748.2040502077683,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P41_34.260_21.400.png
P42_45.680_21.400,45.68,21.400000000000002,2,11,1305.6786727309805,751.4557165015666,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P42_45.680_21.400.png
P43_57.100_21.400,57.1,21.400000000000002,2,12,1372.081766466795,753.1620813775764,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P43_57.100_21.400.png
P44_68.520_21.400,68.52,21.400000000000002,2,13,1435.2516098126157,755.7367371493505,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P44_68.520_21.400.png
P45_79.940_21.400,79.94,21.400000000000002,2,14,1495.5702153818131,758.1287130215685,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P45_79.940_21.400.png
P46_-79.940_17.120,-79.94,17.12,3,0,561.9941813663042,799.716371892365,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P46_-79.940_17.120.png
P47_-68.520_17.120,-68.52,17.12,3,1,619.3421472686418,798.8073806220301,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P47_-68.520_17.120.png
P48_-57.100_17.120,-57.1,17.12,3,2,681.686240726216,798.4878621115297,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P48_-57.100_17.120.png
P49_-45.680_17.120,-45.68,17.12,3,3,745.7420899891068,797.948735645565,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P49_-45.680_17.120.png
P50_-34.260_17.120,-34.26,17.12,3,4,812.8975242735839,797.8244778044499,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P50_-34.260_17.120.png
P51_-22.840_17.120,-22.84,17.12,3,5,882.4632080181665,797.5858318525636,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P51_-22.840_17.120.png
P52_-11.420_17.120,-11.42,17.12,3,6,952.5799799310452,799.463213348428,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P52_-11.420_17.120.png
P53_0.000_17.120,0.0,17.12,3,7,1025.879233175287,799.6929759837841,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P53_0.000_17.120.png
P54_11.420_17.120,11.42,17.12,3,8,1097.8769703502862,800.5906427624878,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P54_11.420_17.120.png
P55_22.840_17.120,22.84,17.12,3,9,1169.8166070361303,800.983769577783,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P55_22.840_17.120.png
P56_34.260_17.120,34.26,17.12,3,10,1240.511083283965,802.5829989864305,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P56_34.260_17.120.png
P57_45.680_17.120,45.68,17.12,3,11,1307.2761140782336,804.9807308268772,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P57_45.680_17.120.png
P58_57.100_17.120,57.1,17.12,3,12,1374.0505210750073,806.2186006847339,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P58_57.100_17.120.png
P59_68.520_17.120,68.52,17.12,3,13,1437.8775361304158,808.6652860585604,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P59_68.520_17.120.png
P60_79.940_17.120,79.94,17.12,3,14,1498.1825588038053,810.4577506768337,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P60_79.940_17.120.png
P61_-79.940_12.840,-79.94,12.84,4,0,559.0139738575201,852.1687337723844,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P61_-79.940_12.840.png
P62_-68.520_12.840,-68.52,12.84,4,1,617.095210796238,852.318014905254,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P62_-68.520_12.840.png
P63_-57.100_12.840,-57.1,12.84,4,2,678.9725428011212,852.1216788830257,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P63_-57.100_12.840.png
P64_-45.680_12.840,-45.68,12.84,4,3,743.8234449056258,853.0095866479364,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P64_-45.680_12.840.png
P65_-34.260_12.840,-34.26,12.84,4,4,812.2147781509634,853.01465244633,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P65_-34.260_12.840.png
P66_-22.840_12.840,-22.84,12.84,4,5,881.2144621503286,853.0437440365255,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P66_-22.840_12.840.png
P67_-11.420_12.840,-11.42,12.84,4,6,952.7631710385142,854.1063001775871,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P67_-11.420_12.840.png
P68_0.000_12.840,0.0,12.84,4,7,1026.130139576819,854.8414913917759,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P68_0.000_12.840.png
P69_11.420_12.840,11.42,12.84,4,8,1098.2415783346946,855.3976275549815,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P69_11.420_12.840.png
P70_22.840_12.840,22.84,12.84,4,9,1171.2227057857417,856.7089191806998,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P70_22.840_12.840.png
P71_34.260_12.840,34.26,12.84,4,10,1243.9844787912994,856.9426420787565,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P71_34.260_12.840.png
P72_45.680_12.840,45.68,12.84,4,11,1308.2370377075727,860.4600343984793,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P72_45.680_12.840.png
P73_57.100_12.840,57.1,12.84,4,12,1374.7974323285623,861.2750171385836,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P73_57.100_12.840.png
P74_68.520_12.840,68.52,12.84,4,13,1438.6135815875202,862.7243557486029,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P74_68.520_12.840.png
P75_79.940_12.840,79.94,12.84,4,14,1499.1130391005202,864.1972478603792,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P75_79.940_12.840.png
